Código Município;Nome da Unidade da Federação;Esperança de vida ao nascer;Mortalidade infantil
310010;Abadia dos Dourados;75,35;14,80
310020;Abaeté;75,9;14,00
310030;Abre Campo;74,36;16,30
310040;Acaiaca;74,36;16,30
310050;Açucena;75,66;14,30
310060;Água Boa;72,94;18,70
310070;Água Comprida;76,58;13,00
310080;Aguanil;75,7;14,30
310090;Águas Formosas;73,63;17,50
310100;Águas Vermelhas;73,46;17,80
310110;Aimorés;73,58;17,60
310120;Aiuruoca;77,23;12,10
310130;Alagoa;74,93;15,40
310140;Albertina;73,76;17,30
310150;Além Paraíba;76,43;13,20
310160;Alfenas;75,45;14,60
310163;Alfredo Vasconcelos;75,01;15,30
310170;Almenara;73,18;18,30
310180;Alpercata;74,43;16,20
310190;Alpinópolis;76,71;12,80
310200;Alterosa;75,83;14,10
310205;Alto Caparaó;75,54;14,50
310210;Alto Rio Doce;74,7;15,80
310220;Alvarenga;72,85;18,80
310230;Alvinópolis;74,34;16,40
310240;Alvorada de Minas;72,65;19,20
310250;Amparo do Serra;73,63;17,50
310260;Andradas;77,69;11,50
310270;Cachoeira de Pajeú;71,25;21,80
310280;Andrelândia;74,06;16,80
310285;Angelândia;70,36;23,50
310290;Antônio Carlos;75,3;14,90
310300;Antônio Dias;75,93;13,90
310310;Antônio Prado de Minas;74,79;15,60
310320;Araçaí;73,28;18,10
310330;Aracitaba;74,37;16,30
310340;Araçuaí;74,27;16,50
310350;Araguari;77,28;11,71
310360;Arantina;75,05;15,20
310370;Araponga;70,6;23,10
310375;Araporã;73,78;17,30
310380;Arapuá;77,27;12,10
310390;Araújos;76,27;13,40
310400;Araxá;76,49;13,10
310410;Arceburgo;73,61;17,60
310420;Arcos;77,43;11,80
310430;Areado;75,84;14,10
310440;Argirita;74;16,90
310445;Aricanduva;72,22;20,00
310450;Arinos;73,88;17,10
310460;Astolfo Dutra;76,5;13,10
310470;Ataléia;73,77;17,30
310480;Augusto de Lima;73,9;17,10
310490;Baependi;74,97;15,40
310500;Baldim;72,21;20,00
310510;Bambuí;77,2;12,20
310520;Bandeira;73,64;17,50
310530;Bandeira do Sul;73,14;18,40
310540;Barão de Cocais;76,46;13,20
310550;Barão de Monte Alto;74,64;15,90
310560;Barbacena;77,88;10,53
