"data_base","nom_atbt","nom_agrp","vlr_atbt","delt_tri","nom_arq_orig","nom_cap","nom_top"
2025-03-31,'Circulante e Realizável a Longo Prazo','Ativo',2786081,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Disponibilidades','Ativo',38893,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Aplicações Interfinanceiras de Liquidez','Ativo',240627,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Títulos e Valores Mobiliários','Ativo',883425,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Derivativos','Ativo',78854,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Operações com Caracterísitca de Concessão de Crédito','Ativo',1138645,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,"'Operações de Crédito, Arrendamentos e Outros Créditos'",'Ativo',1002453,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Títulos e Valores Mobiliários','Ativo',189706,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'(Provisão para Perda de Crédito Esperada)','Ativo',-53514,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Relações Interfinanceiras e Interdependências','Ativo',248131,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Ativos Fiscais - Correntes e Diferidos','Ativo',83768,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Outros Ativos','Ativo',73738,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Permanente','Ativo',34845,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Total do Ativo','Ativo',2820926,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Circulante e Exigível a Longo Prazo','Passivo',2618303,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Depósitos','Passivo',1019413,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Captações no Mercado Aberto','Passivo',408401,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Instrumentos de Dívida','Passivo',388199,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Obrigações por Empréstimos e Repasses','Passivo',123098,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Derivativos','Passivo',70778,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Relações Interfinanceiras e Interdependências','Passivo',112611,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,"'Provisões para Garantias Financeiras, Compromissos de Crédito e Créditos a Liberar'",'Passivo',1330,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,"'Provisões Técnicas de Seguros, Previdência e Capitalização'",'Passivo',322721,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Demais Provisões','Passivo',16814,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Obrigações Fiscais Correntes e Diferidas','Passivo',19366,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Outros Passivos','Passivo',135572,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Patrimônio Líquido','Passivo',193900,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Participação de Acionistas Não Controladores','Passivo',8723,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-03-31,'Total do Passivo','Passivo',2820926,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Circulante e Realizável a Longo Prazo','Ativo',2851314,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Disponibilidades','Ativo',36127,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Aplicações Interfinanceiras de Liquidez','Ativo',302560,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Títulos e Valores Mobiliários','Ativo',834548,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Derivativos','Ativo',97654,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Operações com Caracterísitca de Concessão de Crédito','Ativo',1157247,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,"'Operações de Crédito, Arrendamentos e Outros Créditos'",'Ativo',1022078,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Títulos e Valores Mobiliários','Ativo',188540,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'(Provisão para Perda de Crédito Esperada)','Ativo',-53371,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Relações Interfinanceiras e Interdependências','Ativo',246261,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Ativos Fiscais - Correntes e Diferidos','Ativo',85470,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Outros Ativos','Ativo',91447,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Permanente','Ativo',34793,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Total do Ativo','Ativo',2886107,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Circulante e Exigível a Longo Prazo','Passivo',2674458,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Depósitos','Passivo',1054741,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Captações no Mercado Aberto','Passivo',409656,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Instrumentos de Dívida','Passivo',377344,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Obrigações por Empréstimos e Repasses','Passivo',135113,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Derivativos','Passivo',96611,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Relações Interfinanceiras e Interdependências','Passivo',103820,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,"'Provisões para Garantias Financeiras, Compromissos de Crédito e Créditos a Liberar'",'Passivo',1153,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,"'Provisões Técnicas de Seguros, Previdência e Capitalização'",'Passivo',311812,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Demais Provisões','Passivo',16628,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Obrigações Fiscais Correntes e Diferidas','Passivo',22988,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Outros Passivos','Passivo',144592,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Patrimônio Líquido','Passivo',202705,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Participação de Acionistas Não Controladores','Passivo',8944,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
2025-01-31,'Total do Passivo','Passivo',2886107,,'Balanço Patrimonial','Balanço Patrimonial','Balanço Patrimonial'
