Santa Helena de Minas;68.37
Divisa Alegre;68.39
Palmópolis;69.29
Pedra Bonita;69.41
Setubinha;69.6
Pingo-d Agua;69.63
Felisburgo;69.66
Imbé de Minas;69.66
Congonhas do Norte;69.74
Mata Verde;69.92
Frei Lagonegro;69.96
São José do Jacuri;69.96
Cipotânea;69.97
Ladainha;70.26
Novo Oriente de Minas;70.26
Angelândia;70.36
Datas;70.36
Berizal;70.41
Santa Cruz de Salinas;70.41
Curral de Dentro;70.51
Itaipé;70.52
Araponga;70.6
Pai Pedro;70.62
José Gonçalves de Minas;70.81
São José da Safira;70.91
Monte Formoso;70.92
Santa Maria do Salto;70.92
São Sebastião do Anta;70.98
Malacacheta;71.05
Buritizeiro;71.06
Nova Belém;71.06
Mendes Pimentel;71.09
Materlândia;71.16
Catuji;71.23
Cachoeira de Pajeú;71.25
Santo Antônio do Jacinto;71.33
Lagoa dos Patos;71.36
Piedade de Caratinga;71.37
Catuti;71.38
Serranópolis de Minas;71.38
São Geraldo da Piedade;71.43
Gonzaga;71.44
Senhora dos Remédios;71.56
Sericita;71.56
Bonito de Minas;71.57
Juvenília;71.57
São João das Missões;71.57
Orizânia;71.67
São José do Divino;71.7
Frei Inocêncio;71.72
Nova Módica;71.72
Leme do Prado;71.73
Mamonas;71.73
Santa Rita do Itueto;71.76
Matipó;71.8
Jampruca;71.86
Marilac;71.86
Caraí;71.88
Miravânia;71.88
Ponto dos Volantes;71.88
Urucuia;71.88
Coluna;71.91
Botumirim;71.94
Josenópolis;71.94
Senador Modestino Gonçalves;71.94
Machacalis;71.96
Ninheira;72.01
Dom Cavati;72.03
Santo Antônio do Retiro;72.03
Coronel Murta;72.05
Itambacuri;72.05
Serra dos Aimorés;72.06
Santa Margarida;72.07
São Pedro do Suaçuí;72.08
Divinésia;72.11
Veredinha;72.11
Cordisburgo;72.17
Ibiracatu;72.17
Japonvar;72.17
São João da Ponte;72.17
Itaobim;72.19
Baldim;72.21
Chalé;72.21
Alto Jequitibá;72.21
Aricanduva;72.22
Itacarambi;72.22
Pedras de Maria da Cruz;72.22
Presidente Kubitschek;72.22
São Romão;72.22
Ubaí;72.22
Passabém;72.23
Patis;72.23
Peçanha;72.23
Rio Vermelho;72.23
Cabeceira Grande;72.25
